Mediennummer;Autor;Titel;Erscheinungsjahr;Umfang;Genre;Kurze Inhaltsangabe
M595665319;Brennan, Maeve  ;Tanz der Dienstmädchen;2010;232;Erzählung;Anthologie von gesellschaftskritischen und zugleich unterhaltsamen Erzählungen aus den 50er- und 60er-Jahren des 20. Jahrhunderts der irisch-amerikanischen Autorin über die Oberflächlichkeit, Egozentrik und Unehrlichkeit der New Yorker Bourgeoisie dieser Zeit.
M59565934X;Bruhns, Wibke;Meines Vaters Land;2005;387;Familie;Am 26. August 1944 wird der Abwehroffizier Hans Georg Klamroth wegen Hochverrats hingerichtet. Jahrzehnte später sieht seine jüngste Tochter in einer Fernsehdokumentation über den 20. Juli Bilder ihres Vaters - aufgenommen während des Prozesses im Volksgerichtshof. Ein Anblick, der Wibke Bruhns nicht mehr loslässt.
M595664390;Büchner, Christine;Hildegard von Bingen;2009;142;Biografie;Ihr Leben und reichhaltiges Schaffen üben bis heute eine ungebrochene Faszination aus: Hildegard von Bingen (1098-1179). Sie war Verfasserin mystisch-visionärer Schriften, Heilpraktikerin und Naturwissenschaftlerin, Predigerin und Komponistin.
M595659314;Buck, Pearl S.;Die gute Erde;2007;331;Belletristik;Chinas fulminanter Aufbruch im 21. Jahrhundert fordert geradezu zu historischen Erkundungen heraus. Pearl S. Bucks berühmter Roman gewinnt vor diesem Hintergrund eine neue Qualität, denn er führt uns zurück in das China des beginnenden 20. Jahrhunderts, in ein vorindustrielles Land.
M595664856;Bullerdiek, Bolko;Vör din egen Döör;2009;95;Plattdeutsch;"De Saak hett en Hoken, sä de Heek, dor hüng he an de Angel. Und so wird es den Lesern gehen, dass die Geschichten dieses Buches sie nicht loslassen; dass sie hinter dem Humorvollen auch das Hintersinnige entdecken."
M59566095X;Burgess, Gordon;Wolfgang Borchert;2007;299;Biografie;Neue Sicht auf einen Kultautor. Als Wolfgang Borchert, schwerkrank aus dem Krieg heimgekehrt, nicht mehr seinen Traumberuf Schauspieler ausüben konnte, wurde er zum Schriftsteller.
M59566565X;Cabré, Jaume;Senyoria;2009;443;Belletristik;Kabale und Liebe im Katalonien des Jahres 1799: Der auf seine eigenen Vorteile bedachte Gerichtspräsident, tritt mit der Verfolgung eines Unschuldigen in ein Fettnäpfchen, dass ihn teuer zu stehen kommt.
M595661087;Calvetti, Paola;Und immer wieder Liebe;2009;442;Belletristik;Eine Begegnung nach 31 Jahren lässt die Liebe zwischen der Buchhändlerin Emma und dem Architekten Federico wieder aufleben.
M595665592;Camilleri, Andrea;Die Farbe der Sonne;2010;125;Belletristik;Andrea Camilleri erhält auf mafios geheimnisvolle Weise Einsicht in ein bisher unbekanntes Tagebuch des großen Malers Caravaggio und bastelt daraus ein Buch über den Wahnsinn eines Gehetzten, die Verschlingungen der Macht und den Stoff aus dem ein Buch gemacht wird.
M595665742;Cappelli, Gaetano;Ferne Verwandte;2010;511;Belletristik;Carlino die Lontrone, einziger Nachkomme einer Olivenöl-Dynastie, wächst in den 1960er-Jahren in Süditalien auf. Der Drang nach Freiheit und Abenteuer, der zu dieser Zeit auch die italienische Provinz erfüllt, treibt ihn um und führt ihn letztendlich in das große Abenteuer Amerika.
